DivClass,ButtonId,ButtonLabel,URL,URLThumbnailPicture,OnClickFunction,OnClickFunctionPlayListVideoListButtonId,OnClickFunctionVideoListFolderName,OnClickFunctionVideoListFileName,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3b,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3c,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3d,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3e,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3f,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3g,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3h,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3i,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3j,OnClickFunctionVideoListMusicVideoLinerNotesButtonE1a3k
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-24,24. Justefunk Funk - When You’re Gone,https://www.youtube.com/watch?v=6UYaPe_P0nU,https://img.youtube.com/vi/6UYaPe_P0nU/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-24,Section-D1a5-VideoList-AD,24. ??????,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.,AD.24.
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-25,25. Justefunk Funk - Home Is Where the Heart Is,https://www.youtube.com/watch?v=PA4OqMgcnWI,https://img.youtube.com/vi/PA4OqMgcnWI/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-25,Section-D1a5-VideoList-AD,25. ??????,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.,AD.25.
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-26,26. Justefunk Funk - Can't Let You Sleep Away,https://www.youtube.com/watch?v=vTMR2wJ-fjk,https://img.youtube.com/vi/vTMR2wJ-fjk/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-26,Section-D1a5-VideoList-AD,26. ??????,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.,AD.26.
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-27,27. Justefunk Funk - Don’t Stop the Funk,https://www.youtube.com/watch?v=sqv0jrnNnYE,https://img.youtube.com/vi/sqv0jrnNnYE/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-27,Section-D1a5-VideoList-AD,27. ??????,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.,AD.27.
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-28,28. Justefunk Funk - All My Love Belong To You,https://www.youtube.com/watch?v=U61nFs5yxjU,https://img.youtube.com/vi/U61nFs5yxjU/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-28,Section-D1a5-VideoList-AD,28. ??????,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.,AD.28.
Section-D1a5-VideoList-AD,PlayListButton-AD-VideoListButton-29,29. Justefunk Funk - Here is Where My Heart Still Lives,https://www.youtube.com/watch?v=pE-P-I4Htck,https://img.youtube.com/vi/pE-P-I4Htck/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AD-VideoListButton-29,Section-D1a5-VideoList-AD,29. ??????,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.,AD.29.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-01,01. DJ Amor - Don’t Stop ’til You Get Enough (Michael Jackson remix cover),https://www.youtube.com/watch?v=b2n3hyeWPmo,https://img.youtube.com/vi/b2n3hyeWPmo/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-01,Section-D1a5-VideoList-AE,01. ??????,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.,AE.01.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-02,02. DJ Amor - One Night Stepping Mix,https://www.youtube.com/watch?v=N_8UR_ydytA,https://img.youtube.com/vi/N_8UR_ydytA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-02,Section-D1a5-VideoList-AE,02. ??????,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.,AE.02.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-03,03. DJ Amor - Feelings,https://www.youtube.com/watch?v=YrunMSQiafg,https://img.youtube.com/vi/YrunMSQiafg/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-03,Section-D1a5-VideoList-AE,03. ??????,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.,AE.03.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-04,04. DJ Amor - Does She Have A Friend,https://www.youtube.com/watch?v=M9fCFPB_Qio,https://img.youtube.com/vi/M9fCFPB_Qio/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-04,Section-D1a5-VideoList-AE,04. ??????,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.,AE.04.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-05,05. DJ Amor - Japan Funk,https://www.youtube.com/watch?v=V1_B4Jr6ai8,https://img.youtube.com/vi/V1_B4Jr6ai8/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-05,Section-D1a5-VideoList-AE,05. ??????,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.,AE.05.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-06,06. Andro Lectric - Wicki Wacky (Barry White & The Brothers Johnson remix),https://www.youtube.com/watch?v=P_bQJUQfBhk,https://img.youtube.com/vi/P_bQJUQfBhk/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-06,Section-D1a5-VideoList-AE,06. ??????,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.,AE.06.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-07,07. Andro Lectric - Midnight Moves EP (Barry White & The Brothers Johnson remix),https://www.youtube.com/watch?v=Dxiyf9WGnv0,https://img.youtube.com/vi/Dxiyf9WGnv0/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-07,Section-D1a5-VideoList-AE,07. ??????,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.,AE.07.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-08,08. Cool Bubbles - I Feel You Close,https://www.youtube.com/watch?v=OzSnhJ14FO8,https://img.youtube.com/vi/OzSnhJ14FO8/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-08,Section-D1a5-VideoList-AE,08. ??????,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.,AE.08.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-09,09. Cool Bubbles - Burning Love,https://www.youtube.com/watch?v=gBuRVb_KcWU,https://img.youtube.com/vi/gBuRVb_KcWU/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-09,Section-D1a5-VideoList-AE,09. ??????,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.,AE.09.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-10,10. Janet & Kenny - This Time Feels Right (Music Vision almost real remix)),https://www.youtube.com/watch?v=5meNju7QsTk,https://img.youtube.com/vi/5meNju7QsTk/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-10,Section-D1a5-VideoList-AE,10. ??????,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.,AE.10.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-11,11. Tina Collins & Leroy Carter - Stay Here (Golden Vinyl remix),https://www.youtube.com/watch?v=0d8NOzxYXrc,https://img.youtube.com/vi/0d8NOzxYXrc/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-11,Section-D1a5-VideoList-AE,11. ??????,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.,AE.11.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-12,12. Velvet Funk - Sweet Escape,https://www.youtube.com/watch?v=q6RZvFy3DD4,https://img.youtube.com/vi/q6RZvFy3DD4/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-12,Section-D1a5-VideoList-AE,12. ??????,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.,AE.12.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-13,13. GoldenGrooveClub - Back to That Summer Groove,https://www.youtube.com/watch?v=QDB33GdmMT8,https://img.youtube.com/vi/QDB33GdmMT8/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-13,Section-D1a5-VideoList-AE,13. ??????,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.,AE.13.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-14,14. Leon Rivers - All Night in Your Love,https://www.youtube.com/watch?v=RAokjvMfqDI,https://img.youtube.com/vi/RAokjvMfqDI/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-14,Section-D1a5-VideoList-AE,14. ??????,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.,AE.14.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-15,15. Jay Zine - Streetlight Funk,https://www.youtube.com/watch?v=cZ8dz18rDMQ,https://img.youtube.com/vi/cZ8dz18rDMQ/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-15,Section-D1a5-VideoList-AE,15. ??????,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.,AE.15.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-16,16. Darrell Adams - All Night Long,https://www.youtube.com/watch?v=UQeXgcMGQT8,https://img.youtube.com/vi/UQeXgcMGQT8/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-16,Section-D1a5-VideoList-AE,16. ??????,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.,AE.16.
Section-D1a5-VideoList-AE,PlayListButton-AE-VideoListButton-17,17. Joseph Wang 1230 - Close to You,https://www.youtube.com/watch?v=ZzEDC4IZkfQ,https://img.youtube.com/vi/ZzEDC4IZkfQ/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AE-VideoListButton-17,Section-D1a5-VideoList-AE,17. ??????,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.,AE.17.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-01,01. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-01,Section-D1a5-VideoList-AF,01. ??????,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.,AF.01.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-02,02. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-02,Section-D1a5-VideoList-AF,02. ??????,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.,AF.02.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-03,03. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-03,Section-D1a5-VideoList-AF,03. ??????,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.,AF.03.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-04,04. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-04,Section-D1a5-VideoList-AF,04. ??????,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.,AF.04.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-05,05. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-05,Section-D1a5-VideoList-AF,05. ??????,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.,AF.05.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-06,06. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-06,Section-D1a5-VideoList-AF,06. ??????,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.,AF.06.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-07,07. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-07,Section-D1a5-VideoList-AF,07. ??????,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.,AF.07.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-08,08. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-08,Section-D1a5-VideoList-AF,08. ??????,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.,AF.08.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-09,09. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-09,Section-D1a5-VideoList-AF,09. ??????,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.,AF.09.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-10,10. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-10,Section-D1a5-VideoList-AF,10. ??????,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.,AF.10.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-11,11. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-11,Section-D1a5-VideoList-AF,11. ??????,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.,AF.11.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-12,12. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-12,Section-D1a5-VideoList-AF,12. ??????,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.,AF.12.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-13,13. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-13,Section-D1a5-VideoList-AF,13. ??????,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.,AF.13.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-14,14. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-14,Section-D1a5-VideoList-AF,14. ??????,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.,AF.14.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-15,15. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-15,Section-D1a5-VideoList-AF,15. ??????,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.,AF.15.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-16,16. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-16,Section-D1a5-VideoList-AF,16. ??????,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.,AF.16.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-17,17. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-17,Section-D1a5-VideoList-AF,17. ??????,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.,AF.17.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-18,18. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-18,Section-D1a5-VideoList-AF,18. ??????,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.,AF.18.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-19,19. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-19,Section-D1a5-VideoList-AF,19. ??????,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.,AF.19.
Section-D1a5-VideoList-AF,PlayListButton-AF-VideoListButton-20,20. ??????,https://www.youtube.com/watch?v=AAAAAAAAAAA,https://img.youtube.com/vi/AAAAAAAAAAA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AF-VideoListButton-20,Section-D1a5-VideoList-AF,20. ??????,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.,AF.20.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-01,01. A-Sirr - Summer Madness,https://www.youtube.com/watch?v=yGE1Gkjy8iI,https://img.youtube.com/vi/yGE1Gkjy8iI/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-01,Section-D1a5-VideoList-AG,01. ??????,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.,AG.01.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-02,02. A-Sirr - Elli's Theme,https://www.youtube.com/watch?v=WYMs-Ypy3mI,https://img.youtube.com/vi/WYMs-Ypy3mI/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-02,Section-D1a5-VideoList-AG,02. ??????,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.,AG.02.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-03,03. Alex Stalart - We Are Not Perfect,https://www.youtube.com/watch?v=YSHgCRFAIEU,https://img.youtube.com/vi/YSHgCRFAIEU/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-03,Section-D1a5-VideoList-AG,03. ??????,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.,AG.03.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-04,04. Alex Stalart - We Are Flying,https://www.youtube.com/watch?v=ddFPlx3vsKY,https://img.youtube.com/vi/ddFPlx3vsKY/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-04,Section-D1a5-VideoList-AG,04. ??????,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.,AG.04.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-05,05. Alex Stalart - Melody Of The Soul,https://www.youtube.com/watch?v=KyY3vyxN1d8,https://img.youtube.com/vi/KyY3vyxN1d8/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-05,Section-D1a5-VideoList-AG,05. ??????,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.,AG.05.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-06,06. Alex Stalart - You are Beautiful,https://www.youtube.com/watch?v=iVPk8G9-TB0,https://img.youtube.com/vi/iVPk8G9-TB0/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-06,Section-D1a5-VideoList-AG,06. ??????,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.,AG.06.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-07,07. Alex Stalart - Piovere,https://www.youtube.com/watch?v=P4QbBcd7wq0,https://img.youtube.com/vi/P4QbBcd7wq0/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-07,Section-D1a5-VideoList-AG,07. ??????,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.,AG.07.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-08,08. Alex Stalart - Secret,https://www.youtube.com/watch?v=gCJaKpVsXzA,https://img.youtube.com/vi/gCJaKpVsXzA/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-08,Section-D1a5-VideoList-AG,08. ??????,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.,AG.08.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-09,09. Alex Stalart - Sommer,https://www.youtube.com/watch?v=x5oAA2H_khE,https://img.youtube.com/vi/x5oAA2H_khE/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-09,Section-D1a5-VideoList-AG,09. ??????,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.,AG.09.
Section-D1a5-VideoList-AG,PlayListButton-AG-VideoListButton-10,10. Alex Stalart - Not Easy,https://www.youtube.com/watch?v=dD7RuqKC8sU,https://img.youtube.com/vi/dD7RuqKC8sU/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AG-VideoListButton-10,Section-D1a5-VideoList-AG,10. ??????,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.,AG.10.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-01,01. Hi-Gloss - You'll Never Know (Dim Zach remix),https://www.youtube.com/watch?v=Hb-Kn1PW_4s,https://img.youtube.com/vi/Hb-Kn1PW_4s/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-01,Section-D1a5-VideoList-AH,01. ??????,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.,AH.01.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-02,02. Gwen McCrae - Let's Straighten It Out (Dim Zach remix),https://www.youtube.com/watch?v=Dcr9J3GByCQ,https://img.youtube.com/vi/Dcr9J3GByCQ/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-02,Section-D1a5-VideoList-AH,02. ??????,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.,AH.02.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-03,03. Sade - Nothing Can Come Between Us (Master Chic Mix),https://www.youtube.com/watch?v=PQhevLH8gSQ,https://img.youtube.com/vi/PQhevLH8gSQ/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-03,Section-D1a5-VideoList-AH,03. ??????,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.,AH.03.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-04,04. Midnight Soul Session - Write it down,https://www.youtube.com/watch?v=DUNS6JeZhtM,https://img.youtube.com/vi/DUNS6JeZhtM/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-04,Section-D1a5-VideoList-AH,04. ??????,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.,AH.04.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-05,05. Eternal - Don't You Love Me (Nezhdan remix),https://www.youtube.com/watch?v=T11Rwx4phhw,https://img.youtube.com/vi/T11Rwx4phhw/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-05,Section-D1a5-VideoList-AH,05. ??????,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.,AH.05.
Section-D1a5-VideoList-AH,PlayListButton-AH-VideoListButton-06,06. The RAH Band - Messages From The Stars,https://www.youtube.com/watch?v=jk6qK1wyJwI,https://img.youtube.com/vi/jk6qK1wyJwI/maxresdefault.jpg,ClickedVideoListButton,PlayListButton-AH-VideoListButton-06,Section-D1a5-VideoList-AH,06. ??????,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.,AH.06.
